0	1.0 1.0
0 0	0.008849557522123894 0.0070921985815602835
0 0 3 45	0.11538461538461539 0.0070921985815602835
0 0 8 31	0.13322368421052633 0.23404255319148937
0 0 9	0.12195121951219512 0.2907801418439716
0 0 9 11	0.1364795918367347 0.2978723404255319
0 0 20 16	0.08079625292740047 0.1702127659574468
0 0 25	0.2213855421686747 0.41134751773049644
0 0 44	0.23404255319148937 0.06382978723404255
0 1	0.2765957446808511 0.2765957446808511
0 1 1	0.16666666666666666 0.1773049645390071
0 1 5	0.19523809523809524 0.3617021276595745
0 1 5 27	0.05787781350482315 0.06382978723404255
0 1 5 30	0.22743467933491687 0.5531914893617021
0 1 14 13	0.22203389830508474 0.24822695035460993
0 1 25 12	0.03475742215785663 0.1702127659574468
0 1 26	0.333694474539545 0.574468085106383
0 1 34 9	0.11244738424533975 0.4326241134751773
0 1 36 26	0.05345501955671447 0.18439716312056736
0 1 39 39	0.0383514596451059 0.15602836879432624
0 1 40 15	0.2784090909090909 0.14184397163120568
0 1 45 20	0.24100719424460432 0.2695035460992908
0 2 2 15	0.13580246913580246 0.07801418439716312
0 2 13	0.2254335260115607 0.22695035460992907
0 2 14	0.04721030042918455 0.07801418439716312
0 2 27	0.33507853403141363 0.3829787234042553
0 2 30	0.04672897196261682 0.07092198581560284
0 2 31	0.014522821576763486 0.03546099290780142
0 2 37 40	0.056910569105691054 0.03546099290780142
0 3 3	0.14325068870523416 0.24822695035460993
0 3 12 41	0.18014184397163122 0.2198581560283688
0 3 18	0.14666666666666667 0.1276595744680851
0 3 28	0.38618925831202044 0.5177304964539007
0 5	0.14736842105263157 0.3191489361702128
0 5 0 34	0.16519546027742749 0.2765957446808511
0 5 0 44	0.3117206982543641 0.2765957446808511
0 5 1	0.3611713665943601 0.7730496453900709
0 5 1 5	0.10424612255275871 0.5673758865248227
0 5 5	0.10621062106210621 0.2624113475177305
0 5 6 31	0.0913968547641073 0.6666666666666666
0 5 7 34	0.19435975609756098 0.28368794326241137
0 5 8 27	0.12335958005249344 0.10638297872340426
0 5 14 16	0.09729295095148753 0.5035460992907801
0 5 14 41	0.11340593315809237 0.5035460992907801
0 5 16 14	0.2792302106027596 0.950354609929078
0 5 16 41	0.14625388198757763 0.8723404255319149
0 5 28 38	0.14358974358974358 0.1773049645390071
0 5 30	0.37958818263205013 0.8368794326241135
0 5 30 5	0.17965415344204883 0.7021276595744681
0 5 33 33	0.21099290780141844 0.41134751773049644
0 5 36	0.046199701937406856 0.10638297872340426
0 5 41 16	0.1136511235225354 0.8156028368794326
0 5 41 39	0.07221425155428025 0.5390070921985816
0 6 0 18	0.15987460815047022 0.3262411347517731
0 6 1 39	0.06200527704485488 0.2978723404255319
0 6 3 12	0.0324773413897281 0.1773049645390071
0 6 6 1	0.1018898931799507 0.44680851063829785
0 6 12 14	0.10996563573883161 0.36879432624113473
0 6 12 20	0.22115384615384615 0.1347517730496454
0 6 13 34	0.0891891891891892 0.375886524822695
0 6 14	0.12627986348122866 0.3404255319148936
0 6 15 16	0.07874682472480948 0.2907801418439716
0 6 15 41	0.05629838142153413 0.3191489361702128
